,id,name,short_description,thumbnail_url
577,46187751,Bột Tiêu 500G (490G)/99 Kèm vị Mã 194.,"Sản phẩm được lựa chọn sản xuất trên dây chuyền hiện đại, sau khi đã lựa chọn kỹ lưỡng nguồn nguyên liệu sạch, đảm bảo cho sức khỏe người sử dụng mà còn giữ lại những vị đặc trưng của từng loại gia vị...",https://salt.tikicdn.com/cache/280x280/ts/product/72/ba/22/78b11b8ce3768de72e40ededf060c0a0.jpg
578,46186471,Bột quế Thành Lộc G500g Kèm vị Mã 009.,"Sản phẩm được lựa chọn sản xuất trên dây chuyền hiện đại, sau khi đã lựa chọn kỹ lưỡng nguồn nguyên liệu sạch, đảm bảo cho sức khỏe người sử dụng mà còn giữ lại những vị đặc trưng của từng loại gia vị...",https://salt.tikicdn.com/cache/280x280/ts/product/71/54/97/dc778ed7dde0a12e3ad53e6be7c2d98d.jpg
579,178293096,Hũ đựng gia vị thủy tinh,"       LỌ ĐỰNG GIA VỊ, HŨ ĐỰNG GIA VỊ THỦY TINH CAO CẤP KÈM THÌA   - Dung tích: 250ml   - Kích thước:15,2cm * 6,5cm   - Chất liệu thủy tinh cao cấp chịu nhiệt   - Kiểu dáng sang trọng   - Mẫu...",https://salt.tikicdn.com/cache/280x280/ts/product/bf/35/72/5e7e9fa5e9442883cfbc266ff85b27f4.jpg
580,172113114,Lọ đựng gia vị lục lăng,       Đựng thoải mái thoả thích các loại gia vị như hà tiêu . Gia vị. Mì chính. V   Kích cỡ 900ml   550ml   380ml   Hàng dày dặn đẹp hơn trong hình luôn nhé   ...,https://salt.tikicdn.com/cache/280x280/ts/product/08/20/94/95c0bfaf8f82d0f26f2dbec3048aebdb.jpg
581,129145139,"hũ gia vị,hộp đựng gia vị 4 ngăn kèm thìa cao cấp","*  mới chất lượng cao* Thiết kế nhiều ngăn, có thể đựng các loại gia vị khác nhau, mỗi hộp có kèm theo thìa nhỏ để ngăn mùi và kiểm soát liều lượng.Nắp che bụi dễ dàng đóng mở, ngăn chặn sự xâm nhập...",https://salt.tikicdn.com/cache/280x280/ts/product/7e/c1/76/4543b5e75077526c84459d77813d3bfc.jpg
582,177293905,"Lọ gia vị có thìa tiện lợi, hũ đựng gia vị thông minh",  LỌ ĐỰNG GIA VỊ CÓ THÌA TIỆN LỢI   Hũ gia vị 250ml (kèm thìa múc) sở hữu chất liệu thủy tinh chịu nhiệt trong suốt và đẹp mắt.   Sản phẩm được sản xuất trên dây chuyền & công nghệ hiện đại cho...,https://salt.tikicdn.com/cache/280x280/ts/product/f5/fc/98/7d52adca7c0c9d941d5be3b1031c0ab1.jpg
583,172022690,LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA - Lọ đựng gia vị,       LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA   Thông tin sản phẩm:   - Xuất xứ : Trung Quốc   - Nhà SX và phân phối: GUANGXI PINGXIANG Shun Hong Import and Export Trade    - Địa chỉ: No.193 N...,https://salt.tikicdn.com/cache/280x280/ts/product/69/18/4f/50edcb9292ad67e3a73fc202c1060654.jpg
584,117172894,"Lọ Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021","        HỘP ĐỰNG GIA VỊ KÈM THÌA CAO CẤP     Chất liệu : THỦY TINH   * Dung tích : 250ml   * Nắp : Nắp nhựa    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọn gàng hẳn...",https://salt.tikicdn.com/cache/280x280/ts/product/fd/ce/77/f83a7475b0a16d50d991b308b80b4678.jfif
585,170476173,"Lọ Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021","       Lọ Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021    Chất liệu : THỦY TINH    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọn gàng hẳn lên    Lọ đựng gia vị ...",https://salt.tikicdn.com/cache/280x280/ts/product/07/fd/3d/c045554a024f9b5afcc60883b20e34ee.jpg
586,169763848,"Lọ đựng gia vị, hũ đựng gia vị kèm muỗng mẫu mới 2021","       LEON OFFICIAL giới thiệu dòng sản phẩm mới:    HỘP ĐỰNG GIA VỊ KÈM THÌA CAO CẤP     Chất liệu : THỦY TINH    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọ...",https://salt.tikicdn.com/cache/280x280/ts/product/b6/53/25/1445ef20d3e68842855711aa6a635e41.jpg
587,136872253,"Lọ Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021","        HỘP ĐỰNG GIA VỊ KÈM THÌA CAO CẤP     Chất liệu : THỦY TINH    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọn gàng hẳn lên    Lọ đựng gia vị được sản xuất trên ...",https://salt.tikicdn.com/cache/280x280/ts/product/2c/50/0e/5a806f2701d2cc9acb711a013b7346bb.jpg
588,171117817,"Hộp Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021 Siêu Tiện Lợi","       Lọ Đựng Gia Vị, Hũ Đựng Gia Vị Kèm Muỗng Mẫu Mới 2021    Chất liệu : THỦY TINH    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọn gàng hẳn lên    Lọ đựng gia vị ...",https://salt.tikicdn.com/cache/280x280/ts/product/02/fe/63/86442df3cb6a4297e066ee212b441cd9.jpg
589,172291220,HỘP ĐỂ GIA VỊ TIỆN ÍCH,       TẠI SHOP MÌNH: FREE SHIP TỪ ĐƠN 50K NHA CẢ NHÀ    Để phòng bếp nhà bạn thêm sang trọng và ngăn nắp thì không thể thiếu kệ gia vị xinh xắn này   - Với thiết kế thông minh tránh tối đa sự t...,https://salt.tikicdn.com/cache/280x280/ts/product/3f/61/0e/c6a336eeeca6eafd8211a4783c5efa30.jpg
